imdbId,title,genre,score,viewers
tt0118578,Albela(2001),Romance,3.7,819
tt0169102,Lagaan: Once Upon a Time in India(2001),Adventure | Drama | Musical,8.1,118K
tt0187279,Meri Biwi Ka Jawab Nahin(2004),Action | Comedy,3.5,746
tt0222024,Hum Tumhare Hain Sanam(2002),Drama | Romance,5.4,7.4K
tt0227194,One 2 Ka 4(2001),Action | Comedy | Drama,5.5,5.4K
tt0238936,Devdas(2002),Musical | Romance,7.5,45K
tt0247911,Aap Mujhe Achche Lagne Lage(2002),Action | Drama | Romance,3.1,2.7K
tt0248126,Kabhi Khushi Kabhie Gham...(2001),Drama | Musical | Romance,7.4,53K
tt0248216,Na Tum Jaano Na Hum(2002),Comedy | Drama | Musical,4.9,3K
tt0248617,Yaadein...(2001),Musical | Drama | Romance,4.2,3.7K
tt0255713,Zubeidaa(2001),Adventure | Biography | Drama,6.5,1.7K
tt0256692,Chori Chori Chupke Chupke(2001),Drama | Musical | Romance,5.5,5.1K
tt0265148,Main Prem Ki Diwani Hoon(2003),Musical | Drama | Romance,3.8,4.9K
tt0265452,Officer(2001),Action | Crime | Drama,4.2,150
tt0267363,Chandni Bar(2001),Crime | Drama,7.6,2.7K
tt0271604,Kuch Khatti Kuch Meethi(2001),Drama | Family,4.7,703
tt0272543,Censor(2001),Musical | Romance,3.1,137
tt0272607,Farz(2001),Action,4.4,497
tt0272735,Mujhe Meri Biwi Se Bachaao(2001),Comedy | Musical | Family,3.5,107
tt0272736,Mujhse Dosti Karoge!(2002),Musical | Romance | Drama,5.0,6K
tt0273164,Daman: A Victim of Marital Violence(2001),Drama | Family,5.6,105
tt0273406,Aashiq(2001),Action | Comedy | Drama,4.0,498
tt0273535,Dil Ne Phir Yaad Kiya(2001),Drama | Musical | Romance,3.3,134
tt0274019,Pyaar Diwana Hota Hai(2002),Romance,3.9,395
tt0275381,Grahan(2001),Drama | Romance,5.3,111
tt0277981,Rahul(2001),Drama,5.3,285
tt0278291,Ajnabee(2001),Crime | Mystery | Thriller,6.3,9K
tt0278522,Jodi No.1(2001),Comedy,5.8,2.6K
tt0279021,Chhupa Rustam: A Musical Thriller(2001),Crime | Drama | Romance,4.5,116
tt0280720,The Guru(2002),Comedy | Fantasy | Music,5.4,15K
tt0281102,Pyaar Tune Kya Kiya...(2001),Thriller,5.7,895
tt0283911,Bas Itna Sa Khwaab Hai...(2001),Romance,3.8,637
tt0284137,Gadar: Ek Prem Katha(2001),Action | Drama | Romance,7.3,13K
tt0284328,Mujhe Kucch Kehna Hai(2001),Romance,4.8,1.3K
tt0285319,Paagalpan(2001),Romance,6.8,47
tt0287537,Love Ke Liye Kuch Bhi Karega(2001),Comedy | Crime | Romance,6.0,1.8K
tt0288273,Uljhan(2001),Drama,4.7,26
tt0289845,Aks(2001),Thriller | Mystery,5.8,1.8K
tt0290326,Tum Bin...: Love Will Find a Way(2001),Drama | Romance,7.5,3.7K
tt0291376,Nayak: The Real Hero(2001),Drama | Action,7.8,17K
tt0292490,Dil Chahta Hai(2001),Comedy | Drama,8.1,74K
